"county","year","month","month_name","mean_temp","total_precip"
"Baringo",1976,7,"Jul",21.5686721801758,162.556045532227
"Baringo",1976,8,"Aug",20.642183303833,87.6244201660156
"Baringo",1976,9,"Sep",18.9926872253418,212.76335144043
"Baringo",1976,10,"Oct",19.4814720153809,208.84992980957
"Baringo",1976,11,"Nov",20.9733829498291,41.9082183837891
"Baringo",1976,12,"Dec",23.186990737915,20.3899841308594
"Baringo",1977,1,"Jan",22.7144508361816,32.1581230163574
"Baringo",1977,2,"Feb",21.7695789337158,40.370231628418
"Baringo",1977,3,"Mar",21.1736259460449,92.5503005981445
"Baringo",1977,4,"Apr",22.9443683624268,45.9505462646484
"Baringo",1977,5,"May",23.2544326782227,39.0138473510742
"Baringo",1977,6,"Jun",20.667947769165,335.521789550781
"Baringo",1977,7,"Jul",20.6137924194336,187.877151489258
"Baringo",1977,8,"Aug",19.9228973388672,135.063491821289
"Baringo",1977,9,"Sep",18.9794940948486,287.997589111328
"Baringo",1977,10,"Oct",19.8216304779053,120.582008361816
"Baringo",1977,11,"Nov",21.0163612365723,90.9358673095703
"Baringo",1977,12,"Dec",21.7292575836182,204.669403076172
"Baringo",1978,1,"Jan",19.4704360961914,289.416809082031
"Baringo",1978,2,"Feb",20.2193279266357,44.8758811950684
"Baringo",1978,3,"Mar",21.4232273101807,48.9337692260742
"Baringo",1978,4,"Apr",22.2324447631836,114.88232421875
"Baringo",1978,5,"May",21.0255908966064,147.880142211914
"Baringo",1978,6,"Jun",22.4099349975586,64.2007522583008
"Baringo",1978,7,"Jul",21.6906433105469,105.830543518066
"Baringo",1978,8,"Aug",20.7998523712158,169.331085205078
"Baringo",1978,9,"Sep",18.7459754943848,260.870208740234
"Baringo",1978,10,"Oct",19.486457824707,195.033554077148
"Baringo",1978,11,"Nov",20.1489486694336,159.485565185547
"Baringo",1978,12,"Dec",20.8754196166992,119.518341064453
"Baringo",1979,1,"Jan",21.0914764404297,40.6753616333008
"Baringo",1979,2,"Feb",21.4792289733887,47.9769821166992
"Baringo",1979,3,"Mar",21.8391208648682,91.0103988647461
"Baringo",1979,4,"Apr",21.9236354827881,67.5411834716797
"Baringo",1979,5,"May",22.7130241394043,86.7076416015625
"Baringo",1979,6,"Jun",21.7981834411621,138.198471069336
"Baringo",1979,7,"Jul",21.5663509368896,125.481170654297
"Baringo",1979,8,"Aug",20.462215423584,180.41520690918
"Baringo",1979,9,"Sep",19.7950954437256,133.696594238281
"Baringo",1979,10,"Oct",20.3332576751709,170.636459350586
"Baringo",1979,11,"Nov",22.0778617858887,65.016960144043
"Baringo",1979,12,"Dec",22.8145065307617,37.8992462158203
"Baringo",1980,1,"Jan",22.0317153930664,81.7062072753906
"Baringo",1980,2,"Feb",22.4606113433838,23.5834426879883
"Baringo",1980,3,"Mar",23.3693408966064,24.1692962646484
"Baringo",1980,4,"Apr",24.336856842041,1.7664383649826
"Baringo",1980,5,"May",24.0093975067139,39.3629608154297
"Baringo",1980,6,"Jun",23.0627269744873,141.750900268555
"Baringo",1980,7,"Jul",20.8988552093506,271.219512939453
"Baringo",1980,8,"Aug",20.7718448638916,119.680892944336
"Baringo",1980,9,"Sep",20.5582275390625,52.9579620361328
"Baringo",1980,10,"Oct",20.6377849578857,116.016693115234
"Baringo",1980,11,"Nov",22.3837184906006,34.4845275878906
"Baringo",1980,12,"Dec",23.9501533508301,10.4209899902344
"Baringo",1981,1,"Jan",22.0420532226562,59.2022132873535
"Baringo",1981,2,"Feb",23.0813751220703,5.88027381896973
"Baringo",1981,3,"Mar",23.8566951751709,2.14537358283997
"Baringo",1981,4,"Apr",23.889762878418,17.4470043182373
"Baringo",1981,5,"May",22.7155628204346,226.370574951172
"Baringo",1981,6,"Jun",21.1645965576172,192.194427490234
"Baringo",1981,7,"Jul",21.2635097503662,130.563659667969
"Baringo",1981,8,"Aug",21.2052612304688,90.1618804931641
"Baringo",1981,9,"Sep",19.6300449371338,217.782501220703
"Baringo",1981,10,"Oct",20.1138000488281,198.072341918945
"Baringo",1981,11,"Nov",20.5618000030518,172.475738525391
"Baringo",1981,12,"Dec",22.3468360900879,29.6387519836426
"Baringo",1982,1,"Jan",22.8585395812988,20.1080532073975
"Baringo",1982,2,"Feb",22.2440452575684,36.3097343444824
"Baringo",1982,3,"Mar",23.4888401031494,8.1443681716919
"Baringo",1982,4,"Apr",23.7245349884033,26.4098339080811
"Baringo",1982,5,"May",24.6943893432617,17.8591938018799
"Baringo",1982,6,"Jun",21.6517105102539,203.461685180664
"Baringo",1982,7,"Jul",21.2617435455322,229.380020141602
"Baringo",1982,8,"Aug",21.1539039611816,69.6408386230469
"Baringo",1982,9,"Sep",20.6919860839844,87.5223388671875
"Baringo",1982,10,"Oct",19.7423706054688,208.621307373047
"Baringo",1982,11,"Nov",21.1813926696777,77.0601119995117
"Baringo",1982,12,"Dec",21.3820819854736,109.614639282227
"Baringo",1983,1,"Jan",20.5063438415527,162.049575805664
"Baringo",1983,2,"Feb",20.7365894317627,56.6760444641113
"Baringo",1983,3,"Mar",22.7609062194824,10.6901149749756
"Baringo",1983,4,"Apr",23.4384326934814,46.2403945922852
"Baringo",1983,5,"May",25.211051940918,16.9594078063965
"Baringo",1983,6,"Jun",24.0132827758789,104.718147277832
"Baringo",1983,7,"Jul",22.5019855499268,114.504135131836
"Baringo",1983,8,"Aug",21.9424152374268,155.080993652344
"Baringo",1983,9,"Sep",20.2950229644775,196.075637817383
"Baringo",1983,10,"Oct",19.5864639282227,347.143096923828
"Baringo",1983,11,"Nov",20.1099834442139,164.271408081055
"Baringo",1983,12,"Dec",20.8324813842773,143.129043579102
"Baringo",1984,1,"Jan",21.4163665771484,60.6233673095703
"Baringo",1984,2,"Feb",21.3194541931152,61.085865020752
"Baringo",1984,3,"Mar",22.291088104248,4.25834083557129
"Baringo",1984,4,"Apr",23.4022274017334,3.15486478805542
"Baringo",1984,5,"May",24.2445125579834,6.62793254852295
"Baringo",1984,6,"Jun",23.6037158966064,74.9028625488281
"Baringo",1984,7,"Jul",24.3134689331055,12.81591796875
"Baringo",1984,8,"Aug",22.3324127197266,51.2654724121094
"Baringo",1984,9,"Sep",20.6267547607422,125.892440795898
"Baringo",1984,10,"Oct",20.9740028381348,99.8778457641602
"Baringo",1984,11,"Nov",21.7333106994629,77.9832763671875
"Baringo",1984,12,"Dec",22.1990242004395,56.6337852478027
"Baringo",1985,1,"Jan",21.4765720367432,75.5814208984375
"Baringo",1985,2,"Feb",21.4400234222412,53.7496109008789
"Baringo",1985,3,"Mar",22.9709625244141,15.1463756561279
"Baringo",1985,4,"Apr",23.1121788024902,43.7070999145508
"Baringo",1985,5,"May",23.0626583099365,116.749839782715
"Baringo",1985,6,"Jun",20.7037162780762,246.092178344727
"Baringo",1985,7,"Jul",20.5560398101807,249.532470703125
"Baringo",1985,8,"Aug",20.4458255767822,84.0362777709961
"Baringo",1985,9,"Sep",19.5481605529785,132.739791870117
"Baringo",1985,10,"Oct",19.59450340271,136.767349243164
"Baringo",1985,11,"Nov",21.438362121582,50.7114448547363
"Baringo",1985,12,"Dec",22.9790267944336,22.2532024383545
"Baringo",1986,1,"Jan",21.5607051849365,79.2843627929688
"Baringo",1986,2,"Feb",22.7198009490967,11.3717489242554
"Baringo",1986,3,"Mar",23.6262969970703,3.77662110328674
"Baringo",1986,4,"Apr",24.210075378418,3.19581580162048
"Baringo",1986,5,"May",22.8190937042236,62.1682205200195
"Baringo",1986,6,"Jun",21.8237152099609,274.223022460938
"Baringo",1986,7,"Jul",21.2926406860352,120.48893737793
"Baringo",1986,8,"Aug",19.7995109558105,344.728881835938
"Baringo",1986,9,"Sep",18.9078407287598,216.104019165039
"Baringo",1986,10,"Oct",19.5638580322266,172.692489624023
"Baringo",1986,11,"Nov",20.286901473999,109.186393737793
"Baringo",1986,12,"Dec",22.6274585723877,32.6019477844238
"Baringo",1987,1,"Jan",22.1203441619873,32.1621284484863
